name,platform,release_date,meta_score,user_review
Sniper Elite VR, PlayStation 4,2021,76,63
Mortal Shell, PC,2020,76,65
Bloodroots, PC,2020,76,61
Cake Bash, PlayStation 4,2020,76,60
Trigger Witch, PlayStation 4,2021,76,#¡VALOR!
Golf Club: Wasteland, PlayStation 4,2021,76,#¡VALOR!
Final Fantasy II Pixel Remaster, PC,2021,76,38
Beautiful Desolation, PC,2020,76,71
ToeJam & Earl: Back in the Groove, PC,2019,76,69
RIDE 4, PC,2020,76,58
Transport Fever 2, PC,2019,76,74
Blazing Chrome, PlayStation 4,2019,76,76
SaGa: Scarlet Grace - Ambitions, PlayStation 4,2019,76,69
Trover Saves the Universe, PlayStation 4,2019,76,80
Mutazione, PlayStation 4,2019,76,75
Persona 5 Strikers, PC,2021,76,69
Mafia: Definitive Edition, PlayStation 4,2020,76,68
